Champion,Overall_Winrate,Aftershock_Winrate,Aftershock_Pickrate,Aftershock_Games,Arcane Comet_Winrate,Arcane Comet_Pickrate,Arcane Comet_Games,Conqueror_Winrate,Conqueror_Pickrate,Conqueror_Games,Dark Harvest_Winrate,Dark Harvest_Pickrate,Dark Harvest_Games,Electrocute_Winrate,Electrocute_Pickrate,Electrocute_Games,First Strike_Winrate,First Strike_Pickrate,First Strike_Games,Fleet Footwork_Winrate,Fleet Footwork_Pickrate,Fleet Footwork_Games,Glacial Augment_Winrate,Glacial Augment_Pickrate,Glacial Augment_Games,Grasp of the Undying_Winrate,Grasp of the Undying_Pickrate,Grasp of the Undying_Games,Guardian_Winrate,Guardian_Pickrate,Guardian_Games,Hail of Blades_Winrate,Hail of Blades_Pickrate,Hail of Blades_Games,Lethal Tempo_Winrate,Lethal Tempo_Pickrate,Lethal Tempo_Games,Phase Rush_Winrate,Phase Rush_Pickrate,Phase Rush_Games,Press the Attack_Winrate,Press the Attack_Pickrate,Press the Attack_Games,Summon Aery_Winrate,Summon Aery_Pickrate,Summon Aery_Games,Unsealed Spellbook_Winrate,Unsealed Spellbook_Pickrate,Unsealed Spellbook_Games
Aatrox,52.89,39.1,0.0,46,47.2,0.1,72,53.0,96.3,"126,013",50.9,1.7,"2,180",49.7,0.3,394,55.6,0.0,45,50.0,0.1,78,58.4,0.1,77,55.6,1.0,"1,301",25.0,0.0,8,45.7,0.1,129,41.5,0.2,217,54.1,0.1,135,40.0,0.1,120,34.2,0.0,38,47.6,0.0,21
Ahri,50.84,46.9,0.0,64,52.9,1.2,"1,849",52.8,0.8,"1,215",50.6,54.5,"86,336",51.2,41.9,"66,389",49.8,0.2,281,44.5,0.1,110,56.0,0.1,134,53.8,0.2,314,50.0,0.0,18,41.9,0.1,93,43.5,0.3,499,51.1,0.2,362,38.9,0.1,167,52.5,0.4,623,52.6,0.0,38
Akali,41.44,,,,36.3,0.1,91,42.5,54.1,"59,254",41.5,8.1,"8,846",39.5,34.7,"38,001",32.4,0.1,74,40.7,0.3,339,,,,47.3,2.2,"2,400",30.0,0.0,10,33.9,0.1,56,30.6,0.1,147,45.9,0.1,61,30.0,0.1,70,32.2,0.1,59,31.6,0.0,19
Akshan,48.96,,,,37.2,0.1,86,47.7,0.4,331,48.6,2.3,"1,819",51.1,0.5,368,55.5,0.3,209,48.9,0.6,444,,,,48.5,0.3,266,50.0,0.0,10,51.2,0.2,121,48.2,18.4,"14,795",37.0,0.0,27,49.2,76.9,"61,821",47.7,0.1,44,26.7,0.0,15
Alistar,50.92,51.7,71.2,"60,655",36.2,0.2,210,43.4,0.3,221,37.7,3.2,"2,709",39.6,2.4,"2,057",40.8,0.1,76,42.9,0.0,35,48.4,0.9,756,53.2,16.4,"13,954",47.5,0.3,236,26.4,0.1,53,39.9,0.2,138,48.3,4.5,"3,850",40.0,0.1,45,52.1,0.1,73,50.6,0.2,160
Amumu,48.75,51.8,67.9,"42,744",47.4,0.4,249,48.4,3.3,"2,097",40.5,23.6,"14,889",44.4,1.1,662,50.7,0.2,142,56.5,0.0,23,46.7,0.2,135,49.5,2.3,"1,441",61.4,0.1,57,54.3,0.1,35,31.6,0.2,98,42.9,0.4,238,45.2,0.1,62,35.1,0.1,77,65.0,0.0,20
Anivia,49.53,62.2,0.1,74,49.6,25.7,"19,761",54.7,0.7,543,49.4,56.3,"43,225",49.4,13.9,"10,660",47.5,0.2,120,66.7,0.0,24,50.0,0.5,386,50.0,0.5,396,44.8,0.0,29,48.5,0.0,33,35.7,0.2,154,51.9,1.2,932,41.2,0.1,51,52.2,0.4,316,49.2,0.1,65
Annie,50.79,35.3,0.1,51,53.9,1.8,"1,386",45.0,0.2,191,51.4,77.2,"59,268",47.9,17.6,"13,504",52.7,0.5,406,41.4,0.0,29,52.1,0.1,94,45.9,0.2,135,52.9,0.0,17,44.7,0.0,38,34.2,0.2,190,54.2,0.9,659,,,,55.2,0.9,723,54.5,0.0,22
Aphelios,53.59,52.4,0.0,21,47.6,0.1,82,55.2,20.2,"30,121",47.8,1.3,"1,992",51.8,0.1,114,61.5,0.2,288,56.3,1.3,"2,000",33.3,0.0,6,55.7,0.1,115,37.5,0.0,8,48.3,0.1,176,51.9,54.5,"81,139",46.2,0.0,39,56.5,21.9,"32,671",32.6,0.0,46,51.7,0.0,29
Ashe,53.03,34.0,0.0,47,42.3,23.2,"43,556",52.8,0.2,305,41.2,3.7,"6,876",40.9,0.1,137,39.0,0.2,377,57.3,0.1,255,42.2,0.0,64,55.6,0.1,180,50.0,0.0,18,50.2,0.3,504,57.4,68.6,"128,965",46.7,0.0,60,53.0,3.4,"6,419",41.2,0.1,199,48.6,0.0,35
Aurelion Sol,47.78,35.9,0.0,39,52.3,15.0,"16,319",42.6,0.7,799,47.1,73.5,"80,124",37.2,0.1,113,46.9,9.8,"10,664",44.1,0.0,34,30.0,0.0,30,37.6,0.1,109,48.1,0.0,27,26.4,0.0,53,45.5,0.1,99,54.5,0.1,145,36.1,0.1,72,48.5,0.3,379,54.2,0.0,24
